yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam,slugOrganizationTypeFrom
1983,10,1,10,Jeff Malone,WAS,Mississippi State,College/University,117,1610612764,Washington Bullets,COL
1983,11,1,11,Derek Harper,DAL,Illinois,College/University,157,1610612742,Dallas Mavericks,COL
1983,12,1,12,Darrell Walker,NYK,Arkansas,College/University,78437,1610612752,New York Knicks,COL
1983,13,1,13,Ennis Whatley,KCK,Alabama,College/University,941,1610612758,Kansas City Kings,COL
1983,14,1,14,Clyde Drexler,POR,Houston,College/University,17,1610612757,Portland Trail Blazers,COL
1983,15,1,15,Howard Carter,DEN,Louisiana State,College/University,76358,1610612743,Denver Nuggets,COL
1983,16,1,16,Jon Sundvold,SEA,Missouri,College/University,78279,1610612760,Seattle SuperSonics,COL
1983,17,1,17,Leo Rautins,PHL,Syracuse,College/University,77916,1610612755,Philadelphia 76ers,COL
1983,18,1,18,Randy Breuer,MIL,Minnesota,College/University,76247,1610612749,Milwaukee Bucks,COL
1983,19,1,19,John Paxson,SAN,Notre Dame,College/University,77820,1610612759,San Antonio Spurs,COL
1983,20,1,20,Roy Hinson,CLE,Rutgers,College/University,77030,1610612739,Cleveland Cavaliers,COL
1983,21,1,21,Greg Kite,BOS,Brigham Young,College/University,1123,1610612738,Boston Celtics,COL
1983,22,1,22,Randy Wittman,WAS,Indiana,College/University,1456,1610612764,Washington Bullets,COL
1983,23,1,23,Mitchell Wiggins,IND,Florida State,College/University,78523,1610612754,Indiana Pacers,COL
1983,24,1,24,Stewart Granger,CLE,Villanova,College/University,76847,1610612739,Cleveland Cavaliers,COL
1983,25,2,1,Sidney Lowe,CHI,North Carolina State,College/University,77415,1610612741,Chicago Bulls,COL
1983,26,2,2,Leroy Combs,IND,Oklahoma State,College/University,76425,1610612754,Indiana Pacers,COL
1983,27,2,3,John Garris,CLE,Boston College,College/University,76791,1610612739,Cleveland Cavaliers,COL
1983,28,2,4,Rod Foster,PHX,California-Los Angeles,College/University,76742,1610612756,Phoenix Suns,COL
1983,29,2,5,Larry Micheaux,CHI,Houston,College/University,77588,1610612741,Chicago Bulls,COL
1983,30,2,6,Mark West,DAL,Old Dominion,College/University,770,1610612742,Dallas Mavericks,COL
1983,31,2,7,Doc Rivers,ATL,Marquette,College/University,470,1610612737,Atlanta Hawks,COL
1983,32,2,8,Michael Britt,WAS,District of Columbia,College/University,82982,1610612764,Washington Bullets,COL
1983,33,2,9,Dirk Minniefield,DAL,Kentucky,College/University,77609,1610612742,Dallas Mavericks,COL
1983,34,2,10,Guy Williams,WAS,Washington State,College/University,78550,1610612764,Washington Bullets,COL
1983,35,2,11,Darrell Lockhart,SAN,Auburn,College/University,77399,1610612759,San Antonio Spurs,COL
1983,36,2,12,Scooter McCray,SEA,Louisville,College/University,77518,1610612760,Seattle SuperSonics,COL
1983,37,2,13,David Russell,DEN,St. John's (NY),College/University,83008,1610612743,Denver Nuggets,COL
1983,38,2,14,Chris McNealy,KCK,San Jose State,College/University,77560,1610612758,Kansas City Kings,COL
1983,39,2,15,Granville Waiters,POR,Ohio State,College/University,78430,1610612757,Portland Trail Blazers,COL
1983,40,2,16,Jim Thomas,IND,Indiana,College/University,78320,1610612754,Indiana Pacers,COL
1983,41,2,17,Ted Kitchel,MIL,Indiana,College/University,83047,1610612749,Milwaukee Bucks,COL
1983,42,2,18,Mike Davis,MIL,Alabama,College/University,83042,1610612749,Milwaukee Bucks,COL
1983,43,2,19,Pace Mannion,GOS,Utah,College/University,77456,1610612744,Golden State Warriors,COL
1983,44,2,20,Horace Owens,NJN,Rhode Island,College/University,83024,1610612751,New Jersey Nets,COL
1983,45,2,21,Paul Williams,PHX,Arizona State,College/University,83060,1610612756,Phoenix Suns,COL
1983,46,2,22,Kevin Williams,SAN,St. John's (NY),College/University,78556,1610612759,San Antonio Spurs,COL
1983,47,2,23,Ken Lyons,PHL,North Texas,College/University,82969,1610612755,Philadelphia 76ers,COL
1983,48,3,1,Craig Ehlo,HOU,Washington State,College/University,378,1610612745,Houston Rockets,COL
1983,49,3,2,Greg Jones,IND,West Virginia,College/University,83013,1610612754,Indiana Pacers,COL
1983,50,3,3,Paul Thompson,CLE,Tulane,College/University,78332,1610612739,Cleveland Cavaliers,COL
